,h0,omega_m
0,67.20311,0.29306477
1,74.835,0.29386708
2,69.18644,0.29749283
3,68.78013,0.29022792
4,74.376625,0.29177126
5,76.61585,0.30632484
6,71.84548,0.2975493
7,71.31667,0.2980786
8,67.761284,0.2825909
9,71.147896,0.27660167
10,70.07174,0.30542982
11,67.49039,0.2777729
12,70.55953,0.28958806
13,77.685165,0.29929447
14,69.44198,0.28336594
15,70.1796,0.295952
16,71.3324,0.3053639
17,70.70167,0.29476467
18,73.042465,0.29125926
19,70.04074,0.29994163
20,71.42163,0.28971192
21,67.52487,0.28850636
22,73.79075,0.2895586
23,73.66256,0.2876635
24,75.92291,0.30515975
25,71.91678,0.28747004
26,69.677536,0.29979065
27,74.89193,0.28605202
28,72.52774,0.28894287
29,71.145004,0.31051823
30,70.01371,0.3042693
31,71.92921,0.31614876
32,73.80941,0.27797627
33,70.31334,0.2982944
34,71.1897,0.30564797
35,66.473175,0.27863878
36,72.10157,0.29486495
37,72.161,0.29560512
38,67.18299,0.28244975
39,69.06008,0.29285544
40,71.80749,0.30259687
41,70.14408,0.288457
42,72.40546,0.28556132
43,71.30811,0.29542738
44,73.64592,0.28797436
45,71.745384,0.28518674
46,73.16124,0.29005557
47,72.56126,0.3050679
48,64.85483,0.29379275
49,69.833244,0.29914555
50,70.13172,0.2846515
51,70.400246,0.30630523
52,74.32869,0.30669567
53,66.93884,0.2832529
54,71.34991,0.3190358
55,73.95866,0.27573228
56,69.5186,0.28227708
57,72.622314,0.29188097
58,68.70452,0.30039412
59,70.35517,0.29245362
60,72.901665,0.284112
61,69.050766,0.27418262
62,71.48137,0.2912259
63,71.24921,0.29260913
64,68.45253,0.2815876
65,74.14866,0.29382473
66,71.068375,0.29630136
67,69.92612,0.2850631
68,72.46588,0.28734142
69,71.38447,0.29336163
70,70.891495,0.27985647
71,75.94745,0.31609666
72,71.49021,0.30262205
73,74.031624,0.29143894
74,73.690186,0.29132965
75,73.481514,0.279197
76,72.98873,0.29927215
77,68.59164,0.27978382
78,69.602325,0.277687
79,66.99775,0.2869458
80,72.771965,0.29419568
81,71.75953,0.2931553
82,69.46379,0.29166368
83,71.21122,0.31145734
84,66.11801,0.28803056
85,68.85802,0.29227224
86,78.52799,0.28723365
87,71.24147,0.28928792
88,72.21657,0.28817916
89,70.67363,0.2883121
90,69.34117,0.29009512
91,68.56579,0.29782307
92,71.93054,0.26904657
93,68.44369,0.28534615
94,71.77015,0.27976233
95,68.09062,0.2813226
96,74.75337,0.2971544
97,71.77768,0.29821765
98,73.38424,0.3091094
99,72.514984,0.28570735
100,71.68903,0.28385308
101,70.26996,0.30910784
102,71.99686,0.29676855
103,71.47839,0.2914042
104,71.86618,0.2948266
105,73.195305,0.29370478
106,70.51096,0.3006578
107,73.80352,0.3124
