,h0,omega_m
0,70.723595,0.28287482
1,65.73698,0.2898563
2,59.709473,0.29305038
3,65.11383,0.26965073
4,57.787037,0.27306822
5,64.510025,0.2804052
6,63.694286,0.273989
7,64.98007,0.28407037
8,64.95461,0.3030805
9,64.77383,0.28915578
10,69.098564,0.2829067
11,71.55909,0.2952959
12,65.341606,0.2948855
13,66.36767,0.31136435
14,70.961975,0.29647005
15,64.63832,0.26876554
16,68.27303,0.27768457
17,65.00833,0.26996776
18,69.52693,0.28755802
19,68.223816,0.28447884
20,66.63748,0.2818933
21,64.43041,0.28800404
22,66.49592,0.28699216
23,63.70092,0.2822935
24,64.69056,0.2846727
25,66.80289,0.3067742
26,66.89549,0.29760322
27,70.216446,0.29935533
28,61.966713,0.29802272
29,65.08404,0.27918482
30,70.42167,0.28474855
31,66.13527,0.29274598
32,64.22938,0.28199193
33,52.476463,0.30260184
34,66.52008,0.2891104
35,62.611572,0.27542186
36,66.58558,0.28889993
37,65.826454,0.27929124
38,65.61977,0.29339656
39,74.522545,0.2871796
40,64.48838,0.28620228
41,62.11045,0.27582422
42,62.231415,0.2857058
43,62.84396,0.2857145
44,64.37306,0.2840727
45,70.20968,0.28592804
46,57.163113,0.28549728
47,65.53902,0.29865214
48,67.06181,0.28730902
49,65.59724,0.27962583
50,68.41635,0.29655653
51,62.478092,0.30382708
52,66.11443,0.30184492
53,65.77356,0.29207295
54,68.00691,0.28291374
55,67.58452,0.27176455
56,65.930084,0.28884363
57,64.09127,0.2716059
58,63.154804,0.28068745
59,65.16261,0.2879878
60,68.350815,0.2788751
61,68.254555,0.2875267
62,60.675335,0.288672
63,71.31115,0.28010884
64,65.84573,0.27491602
65,66.28231,0.28761604
66,65.24121,0.28843114
67,66.0052,0.27986008
68,65.502785,0.27886203
69,64.854965,0.28200516
70,62.6106,0.27171627
71,66.724335,0.29564387
72,63.54556,0.2785075
73,74.05321,0.28191465
74,66.025276,0.27951717
75,68.341866,0.28503677
76,65.01235,0.2885386
77,64.11609,0.27464408
78,65.20315,0.2897805
79,69.53269,0.28484896
80,71.605255,0.29992062
81,59.82704,0.29389888
82,70.72279,0.29541415
83,65.665276,0.28070948
84,66.20552,0.26260185
85,67.51554,0.26671878
86,71.34342,0.27357692
87,65.79385,0.28960037
88,69.056816,0.27085283
89,67.30722,0.30005378
90,72.46546,0.31923425
91,64.9285,0.28876734
92,69.58724,0.27479663
93,68.24468,0.31858322
94,71.660324,0.30516592
95,67.79109,0.28042373
96,58.88875,0.28901842
97,66.72007,0.28470215
98,67.33254,0.28116667
99,66.24825,0.3122127
100,66.59927,0.3018762
101,71.98228,0.28721765
102,62.29624,0.27836418
103,68.831,0.28935727
104,64.79588,0.2746624
105,68.919785,0.2717702
106,67.86364,0.29755425
107,66.06828,0.26790807
108,66.80966,0.2787511
109,65.03916,0.28956893
110,69.30223,0.28009057
111,68.77845,0.2836175
112,67.94242,0.29357335
113,67.49177,0.27509242
114,62.669025,0.27504516
115,64.248924,0.29425558
116,64.23258,0.29271904
117,62.60086,0.28624505
118,69.41479,0.28297317
119,67.378395,0.303163
