,h0,omega_m
0,63.0816,0.27727562
1,62.889668,0.27053466
2,66.41535,0.2706157
3,64.44079,0.27860636
4,69.844925,0.27650326
5,66.908844,0.28317922
6,65.11526,0.27786654
7,60.640015,0.26197127
8,67.90076,0.26693916
9,61.48032,0.27557212
10,60.60002,0.29186487
11,60.919666,0.26725385
12,67.70816,0.24949858
13,70.12718,0.27293923
14,62.991974,0.25876468
15,62.623764,0.29541206
16,69.001656,0.27022713
17,63.226944,0.2712141
18,63.285378,0.27543664
19,68.24934,0.29027534
20,64.981155,0.28298494
21,62.618675,0.25821817
22,62.623188,0.28256413
23,65.0392,0.27110818
24,60.01317,0.2832098
25,62.99608,0.29940414
26,62.321926,0.2624547
27,57.615265,0.2805479
28,61.84218,0.29595324
29,64.734474,0.29078442
30,64.077675,0.28064337
31,63.118725,0.29378328
32,63.144268,0.27216262
33,63.06339,0.26715675
34,63.7335,0.2741907
35,71.71929,0.2846632
36,60.686367,0.28204325
37,62.561028,0.29054105
38,59.627155,0.262276
39,64.223526,0.28119865
40,60.989597,0.28284046
41,66.935135,0.26560688
42,62.285774,0.27490637
43,69.99577,0.28837967
44,65.83258,0.26793852
45,69.101776,0.27903482
46,65.009384,0.29230866
47,63.745422,0.27763703
48,62.69931,0.28809053
49,66.362404,0.2909622
50,61.989635,0.2626615
51,64.052536,0.24290024
52,61.115852,0.28304097
53,67.85041,0.2903974
54,62.901337,0.27143243
55,64.81938,0.29056266
56,62.1067,0.28998125
57,61.958286,0.28193542
58,62.758724,0.26651654
59,59.802387,0.27729276
60,62.782627,0.26846656
61,60.753918,0.2645973
62,65.298096,0.26827216
63,61.530174,0.2641102
64,61.78094,0.2807239
65,64.70402,0.28129885
66,63.099586,0.24839984
67,66.92945,0.28596866
68,66.98483,0.27477843
69,63.760345,0.26680458
70,61.620224,0.2862059
71,63.94432,0.2764267
72,66.0003,0.28189433
73,67.23545,0.27638564
74,65.342514,0.267695
75,68.98988,0.2610851
76,63.08532,0.28478014
77,62.205547,0.2868734
78,62.324615,0.2773211
79,62.925175,0.28473374
80,63.880386,0.27052498
81,61.638496,0.25723058
82,63.972588,0.27693737
83,62.955936,0.2624335
84,64.87195,0.2591334
85,59.70559,0.28146893
86,65.215004,0.2714132
87,62.91286,0.28308195
88,63.427353,0.25914073
89,61.19428,0.26949337
90,70.6252,0.2720805
91,63.26812,0.29896018
92,60.33326,0.26827374
93,63.34282,0.30718637
94,62.81829,0.28042927
95,54.712734,0.23888804
96,74.37907,0.28329432
97,62.198296,0.28719497
98,65.78187,0.27627745
99,62.872528,0.2904493
100,58.403744,0.26524612
101,64.53738,0.2851226
102,63.76781,0.266624
