,h0,omega_m
0,64.22596,0.28730562
1,62.82383,0.26315776
2,65.61411,0.27639553
3,62.513035,0.28494382
4,67.54711,0.28506258
5,65.76725,0.280055
6,70.441284,0.28441918
7,60.6188,0.29305533
8,66.06503,0.2790136
9,68.48689,0.27983326
10,69.350204,0.28094855
11,64.92868,0.2943952
12,73.493126,0.30245236
13,64.30804,0.27224517
14,67.874855,0.2902218
15,65.5696,0.2804565
16,64.3703,0.2996674
17,66.97721,0.29605508
18,72.43865,0.28305778
19,63.359062,0.2814147
20,75.118996,0.27807352
21,65.741776,0.26291034
22,67.52293,0.28469107
23,62.517857,0.27740136
24,65.43371,0.2717999
25,63.406796,0.27179196
26,64.98177,0.28636813
27,67.24113,0.3020169
28,65.472725,0.2827533
29,65.67416,0.28520304
30,64.67008,0.28166124
31,66.79547,0.28965178
32,67.649536,0.28515264
33,68.38675,0.28145808
34,61.056828,0.30079162
35,66.17778,0.2727717
36,69.98779,0.29266113
37,56.775795,0.28949234
38,69.11998,0.2780877
39,66.49834,0.2847996
40,61.070766,0.2760294
41,61.42822,0.2726095
42,69.21223,0.28416106
43,73.79592,0.2857221
44,70.78272,0.2812656
45,61.977173,0.2748707
46,74.39873,0.29859996
47,65.24933,0.2771541
48,68.68994,0.30189806
49,64.39262,0.27753735
50,64.7398,0.2733688
51,68.36482,0.2672635
52,68.17274,0.2771264
53,70.17064,0.28189492
54,65.879425,0.29177964
55,61.524834,0.28901222
56,63.962772,0.2619156
57,65.946075,0.27642193
58,66.82394,0.2856204
59,62.95786,0.29319963
60,64.12387,0.28428593
61,64.661125,0.2918363
62,68.76058,0.28654137
63,71.50105,0.3115484
64,65.314705,0.3005244
65,61.711704,0.29444712
66,64.91713,0.2875771
67,61.813152,0.2830506
68,64.49108,0.27588904
69,67.87368,0.27165687
70,65.0884,0.27609658
71,67.60776,0.2972131
72,71.2216,0.28880802
73,63.23648,0.27296692
74,67.20818,0.30871728
75,74.609924,0.30245543
76,69.03892,0.2692173
77,64.97543,0.3008074
78,61.551113,0.2885698
79,65.52906,0.26466835
80,66.25316,0.27380112
81,61.168854,0.28823596
82,67.69713,0.27365887
83,66.90993,0.25546697
84,61.788998,0.2956338
85,71.57364,0.27050892
86,62.661716,0.28556496
87,58.822414,0.27387273
88,67.170105,0.2848872
89,71.94537,0.28990662
90,73.985756,0.2795274
91,67.52505,0.28171882
92,70.13356,0.2876003
93,60.910656,0.26956612
94,65.90837,0.30029336
95,62.830612,0.28227282
96,67.56552,0.31103653
97,66.16346,0.27647305
98,68.770836,0.28318664
99,65.598404,0.2678105
100,65.62612,0.2753482
